"Provider Number","Hospital Name","Address 1","Address 2","Address 3","City","State","ZIP Code","County Name","Phone Number","Percent of Pneumonia Patients Whose Initial ER Blood Culture Was Performed Prior To Administration Of First Dose Of Antibiotics","Number of Patients 2","Footnote 2","Percent of Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s)","Number of Patients 4","Footnote 4"
"030030","PHOENIX BAPTIST HOSPITAL","2000 WEST BETHANY HOME ROAD","","","PHOENIX","AZ","85015","MARICOPA","6022490212","96","209","","97","141",""
"030033","PAYSON REGIONAL MEDICAL CENTER","807 SOUTH PONDEROSA DRIVE","","","PAYSON","AZ","85541","GILA","9284743222","99","85","The hospital indicated that the data submitted for this measure were based on a sample of cases","95","55","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"030036","CHANDLER REGIONAL MEDICAL CENTER","475 SOUTH DOBSON ROAD","","","CHANDLER","AZ","85224","MARICOPA","4809634561","98","162","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","99","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"030037","ST LUKES MEDICAL CENTER","1800 EAST VAN BUREN STREET","","","PHOENIX","AZ","85006","MARICOPA","6022518156","99","176","","98","104",""
"030038","SCOTTSDALE HEALTHCARE-OSBORN MEDICAL CENTER","7400 EAST OSBORN ROAD","","","SCOTTSDALE","AZ","85251","MARICOPA","4808824000","99","148","The hospital indicated that the data submitted for this measure were based on a sample of cases","96","83","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"030043","SIERRA VISTA REGIONAL HEALTH CENTER INC","300 EL CAMINO REAL","","","SIERRA VISTA","AZ","85635","COCHISE","5204584641","99","126","","100","90",""
"030055","KINGMAN REGIONAL MEDICAL CENTER","3269 STOCKTON HILL ROAD","","","KINGMAN","AZ","86409","MOHAVE","9287572101","99","414","","98","231",""
"030061","BANNER BOSWELL MEDICAL CENTER","10401 WEST THUNDERBIRD BOULEVARD","","","SUN CITY","AZ","85351","MARICOPA","6239777211","100","70","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","61","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"030062","SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER","2200 SHOW LOW LAKE ROAD","","","SHOW LOW","AZ","85901","NAVAJO","9285374375","94","94","The hospital indicated that the data submitted for this measure were based on a sample of cases","79","68","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"030064","UNIVERSITY OF ARIZONA MEDICAL CTR-UNIVERSITY, THE","1501 NORTH CAMPBELL AVENUE","","","TUCSON","AZ","85724","PIMA","5206940111","98","115","The hospital indicated that the data submitted for this measure were based on a sample of cases","96","53","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"030065","BANNER DESERT MEDICAL CENTER","1400 SOUTH  DOBSON ROAD","","","MESA","AZ","85202","MARICOPA","4804123000","100","57","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","90","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"030067","LA PAZ REGIONAL HOSPITAL","1200 WEST MOHAVE ROAD","","","PARKER","AZ","85344","LA PAZ","9286697300","88","40","The hospital indicated that the data submitted for this measure were based on a sample of cases","82","38","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"030068","MT GRAHAM REGIONAL MEDICAL CENTER","1600  SOUTH 20TH AVENUE","","","SAFFORD","AZ","85546","GRAHAM","9283484000","99","87","","90","78",""
"030069","HAVASU REGIONAL MEDICAL CENTER","101 CIVIC CENTER LANE","","","LAKE HAVASU CITY","AZ","86403","MOHAVE","9288558185","99","130","","95","78",""
"030071","FORT DEFIANCE INDIAN HOSPITAL","PO BOX 649","","","FORT DEFIANCE","AZ","86504","APACHE","9287298000","97","73","","90","83",""
"030073","TUBA CITY REGIONAL HEALTH CARE CORPORATION","PO BOX 600","","","TUBA CITY","AZ","86045","COCONINO","9282832501","94","64","The hospital indicated that the data submitted for this measure were based on a sample of cases","74","50","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"030074","SELLS INDIAN HEALTH SERVICE HOSPITAL","PO BOX 548","","","SELLS","AZ","85634","PIMA","5203837200","92","12","The number of cases is too small to reliably tell how well a hospital is performing","93","14","The number of cases is too small to reliably tell how well a hospital is performing"
"030077","SAN CARLOS INDIAN HOSPITAL","223 CIBECUE CIRCLE ROAD","","","SAN CARLOS","AZ","85550","GILA","9284757347","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"030078","PHOENIX INDIAN MEDICAL CENTER","4212 NORTH 16TH STREET","","","PHOENIX","AZ","85016","MARICOPA","6022631200","84","49","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","38","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"030083","PARADISE VALLEY HOSPITAL","3929 EAST BELL ROAD","","","PHOENIX","AZ","85032","MARICOPA","6029235000","99","188","","97","139",""
"030084","CHINLE COMPREHENSIVE HEALTH CARE FACILITY","US HWY 191, HOSPITAL ROAD","","","CHINLE","AZ","86503","APACHE","9286747001","80","59","The hospital indicated that the data submitted for this measure were based on a sample of cases","67","49","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"030085","NORTHWEST MEDICAL CENTER","6200 NORTH LA CHOLLA BOULEVARD","","","TUCSON","AZ","85741","PIMA","5207429000","99","330","","98","259",""
"030087","SCOTTSDALE HEALTHCARE-SHEA MEDICAL CENTER","9003 EAST SHEA BOULEVARD","","","SCOTTSDALE","AZ","85260","MARICOPA","4803233000","100","150","The hospital indicated that the data submitted for this measure were based on a sample of cases","93","76","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"030088","BANNER BAYWOOD MEDICAL CENTER","6644 EAST BAYWOOD AVENUE","","","MESA","AZ","85206","MARICOPA","4803212000","98","123","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","87","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"030089","BANNER THUNDERBIRD MEDICAL CENTER","5555 WEST THUNDERBIRD ROAD","","","GLENDALE","AZ","85306","MARICOPA","6025885555","99","119","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","79","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"030092","JOHN C LINCOLN DEER VALLEY HOSPITAL","19829 NORTH 27TH AVENUE","","","PHOENIX","AZ","85027","MARICOPA","6238795574","99","163","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","113","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"030093","BANNER DEL E WEBB MEDICAL CENTER","14502 WEST MEEKER BOULEVARD","","","SUN CITY WEST","AZ","85375","MARICOPA","6232144000","99","96","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","77","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"030094","ARROWHEAD HOSPITAL","18701 NORTH 67TH AVENUE","","","GLENDALE","AZ","85308","MARICOPA","6235611000","98","241","","99","180",""
"030100","CARONDELET HEART AND VASCULAR INSTITUTE","4888 NORTH STONE AVENUE","","","TUCSON","AZ","85704","PIMA","5206962328","100","74","","100","49",""
"030101","WESTERN ARIZONA REGIONAL MEDICAL CTR","2735 SILVER CREEK ROAD","","","BULLHEAD CITY","AZ","86442","MOHAVE","9287632273","98","162","","100","99",""
"030103","MAYO CLINIC HOSPITAL","5777 EAST MAYO BOULEVARD","","","PHOENIX","AZ","85054","MARICOPA","4805156296","98","171","","98","112",""
"030105","BANNER HEART HOSPITAL","6750 EAST BAYWOOD AVENUE","","","MESA","AZ","85206","MARICOPA","4808545050","Not Available","0","","Not Available","0",""
"030107","ARIZONA SPINE AND JOINT HOSPITAL","4620 EAST BASELINE ROAD","","","MESA","AZ","85206","MARICOPA","4808324770","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"030108","SURGICAL SPECIALTY HOSPITAL OF ARIZONA","6501 NORTH 19TH AVENUE","","","PHOENIX","AZ","85015","MARICOPA","6027956020","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"030110","WEST VALLEY HOSPITAL","13677 WEST MCDOWELL ROAD","","","GOODYEAR","AZ","85395","MARICOPA","6238821500","99","382","","98","250",""
"030111","UNIVERSITY OF ARIZONA MEDICAL CTR- SOUTH CAM, THE","2800 EAST AJO WAY","","","TUCSON","AZ","85713","PIMA","5202944471","94","109","The hospital indicated that the data submitted for this measure were based on a sample of cases","94","77","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"030112","ARIZONA ORTHOPEDIC SURGICAL HOSPITAL","2905 WEST WARNER ROAD","","","CHANDLER","AZ","85225","MARICOPA","4806039000","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"030113","WHITERIVER PHS INDIAN HOSPITAL","200 WEST HOSPITAL DRIVE  (PO BOX 860)","","","WHITERIVER","AZ","85941","NAVAJO","9283384911","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"030114","ORO VALLEY HOSPITAL","1551 EAST TANGERINE ROAD","","","ORO VALLEY","AZ","85755","PIMA","5209013500","98","125","","97","93",""
"030115","BANNER ESTRELLA MEDICAL CENTER","9201 WEST THOMAS ROAD","","","PHOENIX","AZ","85037","MARICOPA","6233274000","100","128","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","69","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"030117","VALLEY VIEW MEDICAL CENTER","5330 SOUTH HIGHWAY 95","","","FORT MOHAVE","AZ","86426","MOHAVE","9287882273","95","66","The hospital indicated that the data submitted for this measure were based on a sample of cases","93","58","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"030118","YAVAPAI REGIONAL MEDICAL CENTER-EAST","7700 EAST FLORENTINE ROAD","","","PRESCOTT VALLEY","AZ","86314","YAVAPAI","9284428165","99","140","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","92","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"030119","MERCY GILBERT MEDICAL CENTER","3555 SOUTH VAL VISTA DRIVE","","","GILBERT","AZ","85296","MARICOPA","4807288327","99","177","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","104","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"030121","MOUNTAIN VISTA MEDICAL CENTER, LP","1301 SOUTH CRISMON ROAD","","","MESA","AZ","85209","MARICOPA","4803586100","96","228","","95","206",""
"030122","BANNER GATEWAY MEDICAL CENTER","1900 NORTH HIGLEY ROAD","","","GILBERT","AZ","85234","MARICOPA","4805432000","99","121","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","87","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"030123","SCOTTSDALE HEALTHCARE-THOMPSON PEAK HOSPITAL","7400 EAST THOMPSON PEAK PARKWAY","","","SCOTTSDALE","AZ","85255","MARICOPA","4803247004","100","96","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","70","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"030126","ARIZONA REGIONAL MEDICAL CENTER","515 NORTH MESA DRIVE","","","MESA","AZ","85201","MARICOPA","4808983333","99","106","","92","66",""
"030130","BANNER IRONWOOD MEDICAL CENTER","37000 NORTH GANTZEL ROAD","","","SAN TAN VALLEY","AZ","85140","PINAL","4803944030","100","53","","100","52",""
"030131","OASIS HOSPITAL","750 NORTH 40TH STREET","","","PHOENIX","AZ","85008","MARICOPA","6027977700","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"030132","FLORENCE HOSPITAL AT ANTHEM, LLC","4545 NORTH HUNT HIGHWAY","","","FLORENCE","AZ","85132","PINAL","5208683333","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"031300","WICKENBURG COMMUNITY HOSPITAL","520 ROSE LANE","","","WICKENBURG","AZ","85390","MARICOPA","9286845421","100","17","The number of cases is too small to reliably tell how well a hospital is performing","85","13","The number of cases is too small to reliably tell how well a hospital is performing"
